MetricID,Page,Group,Metric,OriginalStatus,FinalStatus,ChangeType,Phase,Note
MAIN-0001,Main Hub,Filters bar,Social Platform,LIVE,LIVE,unchanged,,
MAIN-0002,Main Hub,Filters bar,Acquisition Source,LIVE,LIVE,unchanged,,
MAIN-0003,Main Hub,Filters bar,Webinar,LIVE,LIVE,unchanged,,
MAIN-0004,Main Hub,Cash hero,Cash Collected,LIVE,LIVE,unchanged,,
MAIN-0005,Main Hub,Cash hero,Revenue Generated,LIVE,LIVE,unchanged,,
MAIN-0006,Main Hub,Cash hero,Cash collected rate,LIVE,LIVE,unchanged,,
MAIN-0007,Main Hub,Cash hero,Pace .../day,LIVE,LIVE,unchanged,,
MAIN-0008,Main Hub,Month-end pace,Projected close,LIVE,LIVE,unchanged,,
MAIN-0009,Main Hub,Month-end pace,Collected so far,LIVE,LIVE,unchanged,,
MAIN-0010,Main Hub,Month-end pace,Per day,LIVE,LIVE,unchanged,,
MAIN-0011,Main Hub,Month-end pace,Target status (No Target/Insufficient Data/Ahead/On Pace/Behind/At Risk),LIVE,LIVE,unchanged,,
MAIN-0012,Main Hub,Executive KPI row,Total Cash Collected,LIVE,LIVE,unchanged,,
MAIN-0013,Main Hub,Executive KPI row,Total Revenue Generated,LIVE,LIVE,unchanged,,
MAIN-0014,Main Hub,Executive KPI row,MRR — Low Ticket,NOT AVAILABLE,NOT AVAILABLE,unchanged,,
MAIN-0015,Main Hub,Executive KPI row,Low Ticket Active,LIVE,LIVE,unchanged,,
MAIN-0016,Main Hub,Executive KPI row,High Ticket Active,LIVE,LIVE,unchanged,,
MAIN-0017,Main Hub,Company KPIs,New Leads,LIVE,LIVE,unchanged,,
MAIN-0018,Main Hub,Company KPIs,Total Views,LIVE,LIVE,unchanged,,
MAIN-0019,Main Hub,Paid Ad Performance,Ad Cash Collected,PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,
MAIN-0020,Main Hub,Paid Ad Performance,Ad Total Revenue,PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,
MAIN-0021,Main Hub,Paid Ad Performance,Ad Spend,PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,
MAIN-0022,Main Hub,Paid Ad Performance,ROAS,PARTIALLY CONNECTED,PARTIALLY CONNECTED,metadata-only,Phase 1/4 (Unit/Classification correction),
MAIN-0023,Main Hub,Traffic → VSL,VSL Page Visits,PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,
MAIN-0024,Main Hub,Traffic → VSL,VSL Plays,PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,
MAIN-0025,Main Hub,Traffic → VSL,Unique Viewers,PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,
MAIN-0026,Main Hub,Traffic → VSL,Engagement Rate,PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,
MAIN-0027,Main Hub,Traffic → VSL,Play Rate,PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,
MAIN-0028,Main Hub,Applications,Applications Submitted,LIVE,LIVE,unchanged,,
MAIN-0029,Main Hub,Applications,Completion Rate,LIVE,LIVE,unchanged,,
