MetricID,Page,Group,Metric,Classification,RealSource,Formula,Unit,TimeWindow,OrgScoped,Joins,DrillDownSource,AttributionDependency,Status,Category(A/B/C/D),PlausibleExternalSource,DuplicateOf,Notes,StatusNorm,CategoryNorm
MAIN-0001,Main Hub,Filters bar,Social Platform,DIMENSION,static enum SOCIAL_PLATFORMS in src/lib/social-platform.ts:1-13; applied as a real client-side filter against leads.source_platform/source_campaign and calls.source_platform/source_campaign via normalizeSocialPlatform() (src/routes/_authenticated.dashboard.tsx:363-368),n/a - dimension filter not a metric,count (enum of values),selected date range via DateRangeProvider,"yes - filters rows already fetched with .eq('org_id', orgId) (dashboard.tsx:304-341)",leads/calls,none (drives Main Hub content),n/a,LIVE,A,n/a,none,"Given status(PLACEHOLDER) is wrong: this is a real filter against real columns, not a static label with no backing data. Values are a fixed 11-item taxonomy, not pulled from DB distinct values, but matching is real.",LIVE,A
MAIN-0002,Main Hub,Filters bar,Acquisition Source,DIMENSION,static enum ACQUISITION_SOURCES in src/lib/acquisition-source.ts:15-27; applied via acquisitionSourceMatches() against leads/calls.source_platform (dashboard.tsx:372-391; comment at 378-386 explains this uses source_platform not source_campaign after a prior bugfix),n/a - dimension filter,count (enum of values),selected date range via DateRangeProvider,"yes - filters rows already fetched with .eq('org_id', orgId)",leads/calls,none,n/a,LIVE,A,n/a,none,"Real filter, real column evidence. Comment at dashboard.tsx:378-386 documents this deliberately has no traffic_sources.category join at this query level (unlike Attribution Command Center), so results may differ slightly from /attribution page - an honest limitation, not fabrication.",LIVE,A
MAIN-0003,Main Hub,Filters bar,Webinar,DIMENSION,"public.webinars table via useWebinars() hook (src/hooks/use-webinars.ts:29-51); nested branch of Acquisition Source filter, matched via matchesWebinarFilter (dashboard.tsx:372-377) against calls.source_webinar_id",n/a - dimension filter,count (enum of real webinar records),all webinars regardless of range (dropdown population); filtering itself scoped to page date range,"yes - .eq('org_id', orgId) use-webinars.ts:41",calls (source_webinar_id) fetched only when this branch is selected (dashboard.tsx:342-349),Webinar Analytics page (/webinar-analytics),n/a,LIVE,A,n/a,none,"Real org-scoped webinars table, RLS-protected (supabase/migrations/20260827090000_analytics_expansion_foundation.sql:31-50). devBypass-only mock fixture used solely when no real session exists (local dev), not a production fallback.",LIVE,A
MAIN-0004,Main Hub,Cash hero,Cash Collected,DERIVED,dashboard.tsx fetchPeriod() lines 403-422,"Math.max(paymentsCash, callsCash+setterCash) where paymentsCash=sum(payments.amount_cents), callsCash=sum(calls.cash_collected_cents), setterCash=sum(setter_activity.cash_collected_cents)","$ (cents in DB, formatted as dollars)",selected date range via DateRangeProvider,"yes - all 3 source queries .eq('org_id', orgId) (dashboard.tsx:304,325,339)","payments + calls + setter_activity (unioned via max, not joined)",none direct - underlying record tables are /payments and /closer,n/a,LIVE,A,n/a,"near-dup of ADMI-0798 (Admin-Home Cash Collected, window=today only) and ADMI-0812/ADMI-0817 (Closer/Manager cash, per-role scoped)","Comment at dashboard.tsx:409-411: max() avoids double-counting when both a payments record and a sales-team self-report exist for the same dollars, and surfaces sales data when payments integration isn't wired.",LIVE,A
MAIN-0005,Main Hub,Cash hero,Revenue Generated,RAW,dashboard.tsx fetchPeriod() line 431: sum of calls.contract_value_cents for calls matching filters,"curr.contractValue = callList.reduce((s,c)=>s+(c.contract_value_cents??0),0)",$ (unit given as % is wrong),selected date range,yes,calls,none direct,n/a,LIVE,A,n/a,none,"Given unit=% is incorrect per actual code: CashHero renders this via money() formatting (dashboard.tsx:2609-2611), a dollar figure. Given type=DERIVED is also off: it's a raw column sum, not a ratio.",LIVE,A
MAIN-0006,Main Hub,Cash hero,Cash collected rate,DERIVED,"CashHero component, dashboard.tsx:2549",cashRate = (Cash Collected / Revenue Generated) * 100,%,selected date range (same as curr/revenue above),yes (inherits from curr/revenue's org-scoped queries),none additional,none direct,n/a,LIVE,A,n/a,none,Simple ratio of two already-verified LIVE numbers (MAIN-0004/MAIN-0005). prevCashRatePct computed identically for the prior period for the delta shown.,LIVE,A
MAIN-0007,Main Hub,Cash hero,Pace .../day,DERIVED,dashboard.tsx lines 1012-1022 (pace predictor) and CashHero render at line 2696,"dailyPace = monthCash / dayOfMonth; monthCash = max(sum(payments.amount_cents for current calendar month), sum(calls.cash_collected_cents)+sum(setter_activity.cash_collected_cents) for current calendar month)",$ per day,current calendar month to date (NOT the page's date-range filter; anchored to today's month per dashboard.tsx:664-669),"yes - monthPays/monthCalls/monthSetters all .eq('org_id', orgId) (dashboard.tsx:704-730)",payments + calls + setter_activity,none direct,n/a,LIVE,A,n/a,"duplicate value also shown as ""Per day"" in Month-end pace (MAIN-0010)","Deliberately independent of the page's selected date-range filter: always calendar-month-to-date, documented in code comments.",LIVE,A
MAIN-0008,Main Hub,Month-end pace,Projected close,DERIVED,dashboard.tsx line 1022 and PaceTallCard render at line 2759,projection = dailyPace * daysInMonth (linear extrapolation of month-to-date daily pace across the full calendar month),$,current calendar month (daysInMonth = calendar days in month; not the page date-range filter),yes (inherits monthCash's org-scoped queries),payments + calls + setter_activity,none direct,n/a,LIVE,A,n/a,none,Simple linear projection - no confidence interval or trend adjustment; an honest but naive extrapolation.,LIVE,A
MAIN-0009,Main Hub,Month-end pace,Collected so far,RAW,dashboard.tsx line 1020 monthCash,"monthCash = Math.max(monthPaymentsCash, monthReportedCash) for current calendar month",$,current calendar month to date,yes,payments + calls + setter_activity,none direct,n/a,LIVE,A,n/a,none,Same underlying number family as MAIN-0007/MAIN-0008.,LIVE,A
MAIN-0010,Main Hub,Month-end pace,Per day,RAW,dashboard.tsx line 1021 dailyPace,dailyPace = monthCash / dayOfMonth,$ per day,current calendar month to date,yes,payments + calls + setter_activity,none direct,n/a,LIVE,A,n/a,"MAIN-0007 (identical value: ""Pace .../day"" in Cash hero footer is the same dailyPace shown here as ""Per day"")",Exact duplicate value rendered in two places on the same page.,LIVE,A
